Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Hamartiology,Origin of Sin,objective,What are the most important scriptural passages supporting the origin of sin? How should this doctrine shape the everyday life of a believer?,P_H_OOS_006,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,Two mature Christians in your church hold different but orthodox views on the nature of the Lord's Supper. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_NOT_011,adversarial_precision_v2
Tertiary,Israelology,Covenant Promises,objective,What are the most important scriptural passages supporting the covenant promises to Israel? How should this doctrine shape the everyday life of a believer?,T_I_CP_002,objective_v2
Primary,Theology Proper,Decrees of God,pastoral,How would a misunderstanding of the decrees of God affect a believer's assurance or approach to suffering?,P_TP_DOG_016,coherence_application_v2
Secondary,Baptism,Meaning & Significance,objective,What is the core teaching of historic Christianity regarding the meaning and significance of baptism? Provide examples from Scripture and major confessional documents.,S_B_MS_003,objective_v2
Tertiary,Creation,Ex Nihilo Creation,objective,Describe the historic confessional understanding of creation ex nihilo as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_C_ENC_002,objective_v2
Tertiary,Creation,Days of Creation,pastoral,A new Christian has been reading popular books that treat the days of creation (length and nature) as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_C_DOC_004,pastoral_v2
Primary,Christology,Humanity of Christ,objective,"How should a clear understanding of the humanity of Christ inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_C_HOC_002,objective_v2
Tertiary,Israelology,Future of Ethnic Israel,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the future of ethnic Israel. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_I_FOE_006,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,objective,What are the most important scriptural passages supporting the nature and hierarchy of angels? How should this doctrine shape the everyday life of a believer?,T_A_NHO_003,objective_v2
Tertiary,Covenantology,Covenant Framework,objective,What are the most common contemporary misconceptions or distortions of the covenant framework of Scripture? How would you correct each one from Scripture and historic Christian teaching?,T_C_CF_002,objective_v2
Tertiary,Angelology,Demonic Activity,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of demonic activity and the powers of darkness. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_A_DA_007,pastoral_v2
Secondary,Baptism,Mode of Baptism,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the proper mode of baptism differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_B_MOB_007,pastoral_v2
Tertiary,Ethics,Cultural Engagement,pastoral,"In a Bible study, someone asks how Christian cultural engagement should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_E_CE_006,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,"In what ways does gender and human sexuality connect to the life, death, and resurrection of Jesus Christ?",S_AR_GS_013,coherence_application_v2
Primary,Hamartiology,Nature of Sin,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the nature of sin don't really matter 'as long as we love each other.' How should you address this situation?,P_H_NOS_012,pastoral_v2
Secondary,Eucharist,Frequency & Practice,objective,What are the most common contemporary misconceptions or distortions of the frequency and practice of the Lord's Supper? How would you correct each one from Scripture and historic Christian teaching?,S_E_FP_001,objective_v2
Secondary,Anthropology (roles),Image of God,pastoral,Two mature Christians in your church hold different but orthodox views on the image of God in humanity. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_AR_IOG_012,adversarial_precision_v2
Primary,Theology Proper,Attributes of God,objective,"How should a clear understanding of the attributes of God inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_TP_AOG_005,objective_v2
Primary,Christology,Hypostatic Union,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the hypostatic union of Christ in light of their pain. How do you respond?",P_C_HU_011,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,pastoral,"A longtime church member tells you privately that they are having serious doubts about the problem of evil, theodicy, and suffering. They say it no longer seems important or even believable to them. How would you counsel them pastorally?",T_P_TS_008,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,Two mature Christians in your church hold different but orthodox views on church discipline and the unity of the church. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_DU_011,adversarial_precision_v2
Primary,Christology,Hypostatic Union,objective,In what ways can a misunderstanding of the hypostatic union of Christ lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_C_HU_003,objective_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,objective,"How should a clear understanding of the nature and hierarchy of angels inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_A_NHO_002,objective_v2
Primary,Soteriology,Justification by Faith,pastoral,An atheist podcaster you are dialoguing with claims that justification by faith alone is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_S_JBF_011,pastoral_v2
Secondary,Baptism,Meaning & Significance,pastoral,A believer who struggles with assurance asks how the meaning and significance of baptism relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_B_MS_005,pastoral_v2
Tertiary,Israelology,Covenant Promises,pastoral,A believer who struggles with assurance asks how the covenant promises to Israel relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_I_CP_009,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,A new Christian has been reading popular books that treat church government and polity as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_E_CGP_012,pastoral_v2
Primary,Hamartiology,Nature of Sin,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the nature of sin in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_H_NOS_011,pastoral_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,Describe the historic confessional understanding of the effects and guilt of sin as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_H_EGO_006,objective_v2
Secondary,Baptism,Mode of Baptism,pastoral,Two mature Christians in your church hold different but orthodox views on the proper mode of baptism. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_B_MOB_012,adversarial_precision_v2
Secondary,Baptism,Mode of Baptism,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the proper mode of baptism matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_B_MOB_005,pastoral_v2
Primary,Christology,Hypostatic Union,objective,Explain the primary biblical basis for the hypostatic union of Christ and its key implications for Christian belief and practice.,P_C_HU_001,objective_v2
Tertiary,Ethics,Moral Law Application,objective,What are the most important scriptural passages supporting the application of the moral law today? How should this doctrine shape the everyday life of a believer?,T_E_MLA_001,objective_v2
Tertiary,Angelology,Demonic Activity,objective,What is the core teaching of historic Christianity regarding demonic activity and the powers of darkness? Provide examples from Scripture and major confessional documents.,T_A_DA_001,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on spiritual gifts don't really matter 'as long as we love each other.' How should you address this situation?,S_PG_SG_010,pastoral_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,A longtime church member tells you privately that they are having serious doubts about the nature and marks of the true church. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_E_NMO_010,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,objective,In what ways can a misunderstanding of gender and human sexuality lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_AR_GS_002,objective_v2
Primary,Soteriology,Justification by Faith,objective,"A pastor is asked by a new convert: 'If I am justified by faith alone, why does the Bible say we will be judged by our works?' How should the pastor answer in a way that is faithful to both Paul and James without creating a false tension?",P_S_JBF_004,hand_curated_precision_v2
Tertiary,Covenantology,Old vs. New Covenant,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the relationship between the old and new covenants don't really matter 'as long as we love each other.' How should you address this situation?,T_C_OVN_007,pastoral_v2
Tertiary,Israelology,Future of Ethnic Israel,pastoral,A believer who struggles with assurance asks how the future of ethnic Israel relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_I_FOE_007,pastoral_v2
Tertiary,Providence,Human Responsibility,objective,"How should a clear understanding of human responsibility inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_P_HR_001,objective_v2
Tertiary,Providence,God's Sovereignty,objective,What is the core teaching of historic Christianity regarding God's sovereignty? Provide examples from Scripture and major confessional documents.,T_P_GS_001,objective_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the signs of the end times matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_E_SOT_004,pastoral_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of creation ex nihilo. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_C_ENC_005,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,Describe the historic confessional understanding of the inerrancy and sufficiency of Scripture as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_B_IS_001,objective_v2
Primary,Hamartiology,Origin of Sin,pastoral,A believer who struggles with assurance asks how the origin of sin relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_H_OOS_010,pastoral_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the unity of essence in the Trinity in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_T_UOE_012,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,objective,What are the central distinctions or nuances that must be maintained when teaching complementarian and egalitarian views on gender roles in order to remain faithful to historic orthodoxy?,S_AR_CVE_003,objective_v2
Primary,Prolegomena,Revelation (General & Special),objective,What are the central distinctions or nuances that must be maintained when teaching general and special revelation in order to remain faithful to historic orthodoxy?,P_P_RGS_002,objective_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,A longtime church member tells you privately that they are having serious doubts about the timing of Christ's return. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_E_TOC_005,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,Someone argues that a right understanding of the distinction of persons in the Trinity is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_T_DOP_016,adversarial_precision_v2
Tertiary,Providence,Human Responsibility,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of human responsibility. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_P_HR_004,pastoral_v2
Tertiary,Providence,God's Sovereignty,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices God's sovereignty differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",T_P_GS_005,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,A parent in your congregation wants help explaining covenant theology versus dispensationalism to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_C_CVD_004,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,A popular online teacher claims that the inerrancy and sufficiency of Scripture is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_B_IS_015,adversarial_precision_v2
Tertiary,Creation,Timing & Mechanism,objective,What are the most important scriptural passages supporting the timing and mechanism of creation? How should this doctrine shape the everyday life of a believer?,T_C_TM_003,objective_v2
Primary,Hamartiology,Origin of Sin,objective,In what ways can a misunderstanding of the origin of sin lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_H_OOS_001,objective_v2
Tertiary,Creation,Days of Creation,pastoral,A believer who struggles with assurance asks how the days of creation (length and nature) relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_C_DOC_008,pastoral_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,A parent in your congregation wants help explaining baptism and filling with the Holy Spirit to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,S_PG_BFO_012,pastoral_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,A believer who struggles with assurance asks how the signs of the end times relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_E_SOT_007,pastoral_v2
Tertiary,Israelology,Role of Israel,objective,Describe the historic confessional understanding of the role of Israel in God's purposes as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_I_ROI_002,objective_v2
Primary,Christology,Deity of Christ,objective,Explain the primary biblical basis for the deity of Christ and its key implications for Christian belief and practice.,P_C_DOC_001,objective_v2
Secondary,Baptism,Subjects of Baptism,pastoral,Two mature Christians in your church hold different but orthodox views on the proper subjects (recipients) of baptism. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_B_SOB_011,adversarial_precision_v2
Secondary,Baptism,Subjects of Baptism,objective,What are the central distinctions or nuances that must be maintained when teaching the proper subjects (recipients) of baptism in order to remain faithful to historic orthodoxy?,S_B_SOB_001,objective_v2
Tertiary,Providence,God's Sovereignty,objective,In what ways can a misunderstanding of God's sovereignty lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_P_GS_003,objective_v2
Primary,Christology,Humanity of Christ,pastoral,A new Christian has been reading popular books that treat the humanity of Christ as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_C_HOC_010,pastoral_v2
Primary,Prolegomena,Nature of Theology,pastoral,An atheist podcaster you are dialoguing with claims that the nature of theology is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_P_NOT_014,pastoral_v2
Tertiary,Israelology,Covenant Promises,objective,What is the core teaching of historic Christianity regarding the covenant promises to Israel? Provide examples from Scripture and major confessional documents.,T_I_CP_001,objective_v2
Tertiary,Providence,God's Sovereignty,objective,What are the most important scriptural passages supporting God's sovereignty? How should this doctrine shape the everyday life of a believer?,T_P_GS_002,objective_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,A believer who struggles with assurance asks how the timing of Christ's return relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_E_TOC_006,pastoral_v2
Primary,Theology Proper,Existence of God,pastoral,A believer who struggles with assurance asks how the existence of God relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_TP_EOG_013,pastoral_v2
Tertiary,Creation,Days of Creation,pastoral,A longtime church member tells you privately that they are having serious doubts about the days of creation (length and nature). They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_C_DOC_005,pastoral_v2
Secondary,Baptism,Meaning & Significance,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the meaning and significance of baptism in light of their pain. How do you respond?",S_B_MS_007,pastoral_v2
Secondary,Anthropology (roles),Image of God,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the image of God in humanity don't really matter 'as long as we love each other.' How should you address this situation?,S_AR_IOG_009,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),objective,Describe the historic confessional understanding of general and special revelation as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_P_RGS_006,objective_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on general and special revelation don't really matter 'as long as we love each other.' How should you address this situation?,P_P_RGS_012,pastoral_v2
Primary,Christology,Deity of Christ,objective,"How should a clear understanding of the deity of Christ inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_C_DOC_006,objective_v2
Primary,Theology Proper,Decrees of God,objective,Someone argues that a right understanding of the decrees of God is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_TP_DOG_015,adversarial_precision_v2
Primary,Prolegomena,Theological Method,objective,What are the most common contemporary misconceptions or distortions of theological method? How would you correct each one from Scripture and historic Christian teaching?,P_P_TM_001,objective_v2
Tertiary,Israelology,Role of Israel,objective,What are the central distinctions or nuances that must be maintained when teaching the role of Israel in God's purposes in order to remain faithful to historic orthodoxy?,T_I_ROI_003,objective_v2
Primary,Christology,Hypostatic Union,objective,What are the most important scriptural passages supporting the hypostatic union of Christ? How should this doctrine shape the everyday life of a believer?,P_C_HU_007,objective_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,A longtime church member tells you privately that they are having serious doubts about the continuation or cessation of spiritual gifts. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_PG_CVC_008,pastoral_v2
Secondary,Baptism,Mode of Baptism,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the proper mode of baptism. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_B_MOB_011,pastoral_v2
Primary,Soteriology,Atonement,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the atonement differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_S_A_013,pastoral_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the nature of the Lord's Supper matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_E_NOT_005,pastoral_v2
Secondary,Baptism,Subjects of Baptism,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the proper subjects (recipients) of baptism in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",S_B_SOB_008,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,A longtime church member tells you privately that they are having serious doubts about the nature and hierarchy of angels. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_A_NHO_007,pastoral_v2
Secondary,Anthropology (roles),Image of God,pastoral,A new Christian has been reading popular books that treat the image of God in humanity as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_AR_IOG_008,pastoral_v2
Primary,Theology Proper,Decrees of God,pastoral,A believer who struggles with assurance asks how the decrees of God relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_TP_DOG_010,pastoral_v2
Primary,Bibliology,Inspiration,objective,Describe the historic confessional understanding of the inspiration of Scripture as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_B_I_004,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of spiritual gifts. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_PG_SG_011,pastoral_v2
Primary,Theology Proper,Decrees of God,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the decrees of God. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_TP_DOG_013,pastoral_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain sanctification in everyday Christian life in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_E_SID_006,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,objective,In what ways can a misunderstanding of complementarian and egalitarian views on gender roles lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_AR_CVE_001,objective_v2
Primary,Bibliology,Authority,pastoral,An atheist podcaster you are dialoguing with claims that the authority of Scripture is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_B_A_013,pastoral_v2
Primary,Prolegomena,Nature of Theology,objective,"How should a clear understanding of the nature of theology inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_P_NOT_001,objective_v2
Primary,Trinitarianism,Unity of Essence,objective,What are the most important scriptural passages supporting the unity of essence in the Trinity? How should this doctrine shape the everyday life of a believer?,P_T_UOE_006,objective_v2
Primary,Prolegomena,Revelation (General & Special),objective,"How does general and special revelation fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_P_RGS_004,objective_v2
Secondary,Anthropology (roles),Image of God,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the image of God in humanity in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",S_AR_IOG_006,pastoral_v2
Secondary,Baptism,Mode of Baptism,pastoral,A new Christian has been reading popular books that treat the proper mode of baptism as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_B_MOB_008,pastoral_v2
Primary,Trinitarianism,Eternal Relations,pastoral,A small group is studying the eternal relations within the Trinity. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_T_ER_016,coherence_application_v2
Primary,Christology,Humanity of Christ,pastoral,An atheist podcaster you are dialoguing with claims that the humanity of Christ is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_C_HOC_011,pastoral_v2
Primary,Bibliology,Inspiration,objective,"How does the inspiration of Scripture fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_B_I_007,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,In what ways can a misunderstanding of the nature and marks of the true church lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_E_NMO_001,objective_v2
Primary,Soteriology,Atonement,objective,"How does the atonement fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_S_A_001,objective_v2
Primary,Hamartiology,Origin of Sin,objective,What are the most common contemporary misconceptions or distortions of the origin of sin? How would you correct each one from Scripture and historic Christian teaching?,P_H_OOS_005,objective_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,objective,What are the most important scriptural passages supporting baptism and filling with the Holy Spirit? How should this doctrine shape the everyday life of a believer?,S_PG_BFO_002,objective_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain baptism and filling with the Holy Spirit in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",S_PG_BFO_009,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,"What is the difference between 'inerrancy' and 'infallibility'? Why have many evangelicals insisted on the stronger term, and what practical difference does it make in how a Christian reads the Bible?",P_B_IS_016,hand_curated_precision_v2
Primary,Hamartiology,Nature of Sin,objective,Someone argues that a right understanding of the nature of sin is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_H_NOS_016,adversarial_precision_v2
Primary,Christology,Deity of Christ,objective,What is the core teaching of historic Christianity regarding the deity of Christ? Provide examples from Scripture and major confessional documents.,P_C_DOC_007,objective_v2
Primary,Trinitarianism,Distinction of Persons,objective,Explain the primary biblical basis for the distinction of persons in the Trinity and its key implications for Christian belief and practice.,P_T_DOP_008,objective_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the signs of the end times don't really matter 'as long as we love each other.' How should you address this situation?,T_E_SOT_003,pastoral_v2
Secondary,Baptism,Meaning & Significance,pastoral,A small group is studying the meaning and significance of baptism. One member says it is too abstract to matter for daily discipleship. How should the group respond?,S_B_MS_013,coherence_application_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,An atheist podcaster you are dialoguing with claims that spiritual gifts is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,S_PG_SG_013,pastoral_v2
Primary,Theology Proper,Existence of God,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the existence of God don't really matter 'as long as we love each other.' How should you address this situation?,P_TP_EOG_009,pastoral_v2
Tertiary,Creation,Timing & Mechanism,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the timing and mechanism of creation in light of their pain. How do you respond?",T_C_TM_005,pastoral_v2
Secondary,Baptism,Subjects of Baptism,pastoral,How would a misunderstanding of the proper subjects (recipients) of baptism affect a believer's assurance or approach to suffering?,S_B_SOB_013,coherence_application_v2
Primary,Prolegomena,Nature of Theology,objective,What is the core teaching of historic Christianity regarding the nature of theology? Provide examples from Scripture and major confessional documents.,P_P_NOT_005,objective_v2
Tertiary,Covenantology,Old vs. New Covenant,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the relationship between the old and new covenants in light of their pain. How do you respond?",T_C_OVN_008,pastoral_v2
Tertiary,Creation,Timing & Mechanism,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the timing and mechanism of creation differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",T_C_TM_004,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,Someone argues that a right understanding of the inerrancy and sufficiency of Scripture is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_B_IS_016,adversarial_precision_v2
Primary,Christology,Deity of Christ,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the deity of Christ don't really matter 'as long as we love each other.' How should you address this situation?,P_C_DOC_011,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,An atheist podcaster you are dialoguing with claims that general and special revelation is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_P_RGS_011,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,How would a misunderstanding of gender and human sexuality affect a believer's assurance or approach to suffering?,S_AR_GS_012,coherence_application_v2
Secondary,Eucharist,Presence of Christ,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the presence of Christ in the Lord's Supper matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_E_POC_005,pastoral_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of baptism and filling with the Holy Spirit. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_PG_BFO_010,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about church discipline and the unity of the church in light of their pain. How do you respond?",S_E_DU_010,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain the inerrancy and sufficiency of Scripture in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",P_B_IS_013,pastoral_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,An atheist podcaster you are dialoguing with claims that the nature and marks of the true church is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,S_E_NMO_011,pastoral_v2
Tertiary,Creation,Timing & Mechanism,objective,"How should a clear understanding of the timing and mechanism of creation inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_C_TM_002,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,"How should a clear understanding of the nature and marks of the true church inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_E_NMO_005,objective_v2
Primary,Hamartiology,Origin of Sin,objective,Describe the historic confessional understanding of the origin of sin as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_H_OOS_008,objective_v2
Primary,Prolegomena,Nature of Theology,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the nature of theology differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_P_NOT_011,pastoral_v2
